Zip Code,Community,Estimated Median Income
90744,	Los Angeles (Wilmington),	43284
90745,	Carson,	73053
90746,	Carson,	81988
90755,	Signal Hill,	75828
90802,	Long Beach,	51302
90803,	Long Beach (Belmont Shore Marina Naples),	83861
90804,	Long Beach (East Long Beach),	47437
90805,	Long Beach (North Long Beach),	47981
90806,	Long Beach,	50615
90807,	Long Beach (Bixby Knolls),	75057
90808,	Long Beach,	102563
90810,	Carson Dominguez Long Beach,	56061
90813,	Long Beach,	34257
90814,	Long Beach,	64623
90815,	Long Beach,	84714
91001,	Altadena,	91090
91006,	Arcadia,	99360
91007,	Arcadia,	79964
91008,	Bradbury,	112813
91010,	Azusa Bradbury Duarte Irwindale Monrovia,	68599
91011,	La Cañada Flintridge,	160288
91016,	Monrovia,	71341
91020,	Montrose,	69150
91024,	Sierra Madre,	98547
91030,	South Pasadena,	92847
91040,	Los Angeles (Shadow Hills Sunland),	77910
91042,	Los Angeles (Tujunga),	53412
91046,	Glendale (Verdugo City),	24609
91101,	Pasadena,	64223
91103,	Pasadena,	69334
91104,	Pasadena,	72189
91105,	Pasadena,	112765
91106,	Pasadena,	77380
91107,	Pasadena,	92266
91108,	San Marino,	152553
91201,	Glendale,	56580
91202,	Glendale,	66657
91203,	Glendale,	51360
91204,	Glendale (Tropico),	44304
91205,	Glendale (Tropico),	38730
91206,	Glendale,	57379
91207,	Glendale,	81110
91208,	Glendale,	105000
91210,	Glendale (Glendale Galleria PO Boxes),	155833
91214,	Glendale La Crescenta Montrose,	94322
91301,	Agoura Hills Cornell,	117615
91302,	Calabasas Hidden Hills Monte Nido,	122967
91303,	Los Angeles (Canoga Park),	51486
91304,	Los Angeles (Canoga Park West Hills) Box Canyon,	64367
91306,	Los Angeles (Winnetka),	64772
91307,	Los Angeles (West Hills) Bell Canyon, 111043
91311,	Los Angeles (Chatsworth),	82738
91316,	Los Angeles (Encino),	68720
91321,	Santa Clarita (Newhall),	66178
91324,	Los Angeles (Northridge),	68477
91325,	Los Angeles (Northridge),	65129
91326,	Los Angeles (Northridge Porter Ranch),	105611
91331,	Los Angeles (Arleta Hansen Hills Pacoima),	57353
91335,	Los Angeles (Reseda),	55580
91340,	San Fernando Los Angeles (Mission Hills Pacoima),	54703
91342,	Los Angeles (Lake View Terrace Sylmar) Kagel Canyon,	68600
91343,	Los Angeles (North Hills),	61692
91344,	Los Angeles (Granada Hills),	86460
91345,	Los Angeles (Mission Hills),	74193
91350,	Bouquet Canyon Green Valley Mint Canyon Santa Clarita (Canyon County),	103837
91351,	Santa Clarita (Canyon Country),	76706
91352,	Los Angeles (La Tuna Canyon Sun Valley),	52171
91354,	Santa Clarita (Valencia),	120560
91355,	Santa Clarita (Valencia),	92066
91356,	Los Angeles (Tarzana),	71654
91361,	Westlake Village,	116114
91362,	Westlake Village,	108167
91364,	Los Angeles (Woodland Hills),	100323
91367,	Los Angeles (Woodland Hills),	84937
91381,	Stevenson Ranch,	121719
91384,	Castaic Val Verde,	106431
91387,	Santa Clarita (Canyon Country) Fair Oaks Ranch Mint Canyon,	87346
91390,	Agua Dulce Green Valley Santa Clarita (Saugus),	108836
91401,	Los Angeles (Valley Glen Van Nuys),	51784
91402,	Los Angeles (Panorama City),	41669
91403,	Los Angeles (Sherman Oaks Van Nuys),	89552
91405,	Los Angeles (Valley Glen),	41283
91406,	Los Angeles (Lake Balboa Van Nuys),	51564
91411,	Los Angeles (Van Nuys),	50332
91423,	Los Angeles (Sherman Oaks Van Nuys),	82554
91436,	Los Angeles (Encino),	159965
91501,	Burbank,	64006
91502,	Burbank,	41784
91504,	Burbank (Glenoaks),	73501
91505,	Burbank,	82630
91506,	Burbank,	72681
91601,	Los Angeles (North Hollywood Toluca Terrace),	50832
91602,	Los Angeles (North Hollywood Studio City Toluca Lake West Toluca Lake),	78526
91604, Los Angeles (North Hollywood Studio City),	99745
91605, Los Angeles (North Hollywood),	43004
91606,	Los Angeles (North Hollywood Valley Glen),	44773
91607,	Los Angeles (North Hollywood Sherman Village Valley Glen Valley Village),	60772
91702,	Azusa Irwindale,	59104
91706,	Baldwin Park Irwindale,	57240
91711,	Claremont,	97002
91722,	Covina,	70632
91723,	Covina,	63270
91724,	Charter Oak Covina,	82821
91731,	El Monte,	36344
91732,	El Monte,	48254
91733,	El Monte South El Monte,	42758
91740,	Glendora,	76825
91741,	Glendora,	99474
91744,	City of Industry La Puente Valinda,	63318
91745,	Hacienda Heights,	81397
91746,	Avocado Heights Bassett West Puente Valley,	64607
91748,	City of Industry Rowland Heights,	64983
91750,	La Verne,	83743
91754,	Monterey Park,	58056
91755,	Monterey Park,	49755
91759,	Mount Baldy (Portion in LA County),	51719
91765,	Diamond Bar,	95285
91766,	Pomona (Phillips Ranch),	54163
91767,	Pomona,	54157
91768,	Pomona,	50044
91770,	Rosemead,	51383
91773,	San Dimas,	81020
91775,	San Gabriel,	81250
91776,	San Gabriel,	52051
91780,	Temple City,	67910
91789,	City of Industry Diamond Bar Walnut,	95081
91790,	West Covina,	74965
91791,	West Covina,	80020
91792,	West Covina,	70932
91801,	Alhambra,	53644
91803,	Alhambra,	61424
93510,	Acton,	92727
93523,	Edwards AFB (Portion in LA County),	62937
93532,	Elizabeth Lake Lake Hughes Leona Valley Sandberg Three Points,	57667
93534,	Lancaster,	37883
93535,	Hi Vista Lake Los Angeles Lancaster Roosevelt Corner Wilsona Gardens,	42978
93536,	Del Sur Fairmont Lancaster Metler Valley Neenach Quartz Hill,	72634
93543,	Juniper Hills Littlerock Sun Village,	41626
93544,	Crystalaire Llano,	50265
93550,	Lake Los Angeles Palmdale,	39279
93551,	City Ranch Leona Valley Palmdale,	87628
93552,	Palmdale,	60612
93553,	Juniper Hills Pearblossom,	58105
93563,	Pearblossom Valyermo,	83875
93591,	Lake Los Angeles Palmdale,	44487
